City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
Nikolskoye,RU,1613074956,59.7035,30.7861,90,85,8.01,8.95
San Andrés,CO,1613074956,12.5847,-81.7006,20,66,86.0,9.22
Paradise,US,1613074804,36.0972,-115.1467,75,24,68.0,6.91
North Platte,US,1613074957,41.1239,-100.7654,90,66,6.8,11.5
Celestún,MX,1613074957,20.8667,-90.4,0,58,83.95,8.14
Chiang Klang,TH,1613074957,19.2938,100.8617,0,57,63.84,1.45
Mabay,PH,1613074957,6.0577,124.4666,100,76,79.41,3.0
Kuytun,RU,1613074957,54.3419,101.5036,100,90,-7.29,6.73
Antofagasta,CL,1613074772,-23.65,-70.4,20,64,73.4,14.97
Hamilton,US,1613074958,39.1834,-84.5333,90,59,26.6,9.22
Victor Harbor,AU,1613074958,-35.5667,138.6167,49,86,61.0,1.01
Okhotsk,RU,1613074958,59.3833,143.3,100,89,14.58,8.55
Asău,RO,1613074958,46.4333,26.4,100,71,25.0,0.45
Batagay,RU,1613074958,67.6333,134.6333,5,84,-12.64,1.61
Örnsköldsvik,SE,1613074959,63.2909,18.7153,90,93,19.4,12.66
Narsaq,GL,1613074959,60.9167,-46.05,75,25,37.4,39.12
Dwārka,IN,1613074959,22.2394,68.9678,0,72,69.71,5.37
León,MX,1613074807,21.1167,-101.6667,20,11,75.2,13.8
Marawi,PH,1613074960,7.9986,124.2928,49,91,75.0,4.0
Rocha,UY,1613074960,-34.4833,-54.3333,100,89,70.93,11.56
Ibaiti,BR,1613074960,-23.8486,-50.1878,100,99,69.01,1.99
Saint-Louis,SN,1613074960,16.3333,-15.0,0,22,87.8,2.3
Alta Gracia,AR,1613074960,-31.6529,-64.4283,75,73,82.0,6.91
São João da Barra,BR,1613074961,-21.6403,-41.0511,40,73,78.8,16.11
Hambantota,LK,1613074961,6.1241,81.1185,85,77,73.29,11.83
Calvinia,ZA,1613074961,-31.4707,19.776,100,54,72.57,4.14
Bambanglipuro,ID,1613074961,-7.95,110.2833,89,82,77.32,4.85
Lakatoro,VU,1613074961,-16.0999,167.4164,58,75,80.46,3.58
Tsuruoka,JP,1613074962,38.7217,139.8217,17,83,34.39,1.25
Vila Franca do Campo,PT,1613074962,37.7167,-25.4333,20,82,61.0,23.02
Mayumba,GA,1613074962,-3.432,10.6554,100,86,79.66,7.94
Marsh Harbour,BS,1613074962,26.5412,-77.0636,26,76,74.89,11.77
Parnamirim,BR,1613074663,-5.9156,-35.2628,40,74,84.2,20.71
Sunrise Manor,US,1613074963,36.2111,-115.0731,1,24,68.0,3.44
Fare,PF,1613074963,-16.7,-151.0167,1,68,82.44,14.83
Harare,ZW,1613074963,-17.8294,31.0539,91,82,66.0,4.0
Kula,TR,1613074964,38.5473,28.6498,55,63,48.81,13.6
Taldan,RU,1613074964,53.6667,124.8,100,97,15.73,13.62
Disna,BY,1613074964,55.568,28.1971,100,94,6.84,10.25
Sungai Penuh,ID,1613074964,-2.0833,101.3833,87,94,64.71,1.92
Meulaboh,ID,1613074964,4.1363,96.1285,31,85,78.13,4.09
Dingle,PH,1613074964,10.9995,122.6711,94,89,75.85,1.92
Vanino,RU,1613074965,49.0869,140.2543,0,90,6.84,3.36
Pápa,HU,1613074965,47.33,17.4674,75,68,23.0,16.11
Abu Dhabi,AE,1613074965,24.4667,54.3667,0,83,69.8,2.3
Magistral'nyy,RU,1613074965,56.1725,107.4458,100,90,-0.56,6.82
Zyryanka,RU,1613074966,65.75,150.85,59,87,-20.34,6.02
Las Lomas,PA,1613074854,8.4333,-82.4,99,53,87.67,11.01
Mae Ramat,TH,1613074966,16.984,98.5166,0,58,63.55,1.32
‘Ewa Beach,US,1613074966,21.3156,-158.0072,1,53,77.0,8.05
Karligan,PH,1613074966,14.975,122.0456,2,87,76.93,8.9
Fonte Boa,BR,1613074967,-2.4959,-66.2662,52,47,91.53,4.29
Makakilo City,US,1613074967,21.3469,-158.0858,1,53,77.0,8.05
Margate,GB,1613074967,51.3813,1.3862,72,60,33.01,4.0
Tegul'det,RU,1613074870,57.3064,88.1667,100,87,-12.89,9.78
Coquimbo,CL,1613074968,-29.9533,-71.3436,0,60,71.6,12.66
Nantucket,US,1613074893,41.2835,-70.0995,40,69,28.99,10.36
Bagdarin,RU,1613074968,54.4333,113.6,100,89,2.23,6.29
Naze,JP,1613074968,28.3667,129.4833,80,88,58.5,30.11
Olinda,BR,1613074969,-8.0089,-34.8553,40,61,82.4,14.97
High Level,CA,1613074969,58.5169,-117.136,90,77,-13.0,3.44
Mayor Pablo Lagerenza,PY,1613074969,-19.9309,-60.7718,100,79,72.39,3.36
Pitimbu,BR,1613074969,-7.4706,-34.8086,20,74,82.4,18.41
Bereda,ES,1613074969,43.2686,-7.5406,100,100,54.0,3.0
Viedma,AR,1613074970,-40.8135,-62.9967,0,35,88.0,4.0
Yamada,JP,1613074970,39.4667,141.95,0,89,27.18,4.94
Kismayo,SO,1613074970,-0.3582,42.5454,0,82,77.22,14.94
Huarmey,PE,1613074970,-10.0681,-78.1522,3,59,79.07,11.16
Guerrero Negro,MX,1613074970,27.9769,-114.0611,0,57,66.09,10.76
Puerto del Rosario,ES,1613074890,28.5004,-13.8627,40,68,66.2,8.05
Pertuis,FR,1613074971,43.6925,5.5028,0,56,41.0,3.44
Muzhi,RU,1613074971,65.3667,64.6667,94,83,-19.79,3.06
Sibolga,ID,1613074971,1.7427,98.7792,82,82,76.96,3.11
Betafo,MG,1613074971,-19.8333,46.85,100,90,60.13,7.56
Baharly,TM,1613074688,38.4362,57.4316,0,57,52.11,1.28
Wichita Falls,US,1613074809,33.9137,-98.4934,75,63,26.6,13.8
Posse,BR,1613074972,-14.0931,-46.3694,69,78,78.28,3.47
Qaqortoq,GL,1613074972,60.7167,-46.0333,75,25,37.4,39.12
Gilgit,PK,1613074972,35.9221,74.3087,0,60,34.77,3.38
Nouadhibou,MR,1613074972,20.931,-17.0347,0,46,73.4,19.57
Kirakira,SB,1613074973,-10.4544,161.9205,89,82,80.51,7.4
Piopio,NZ,1613074973,-38.4667,175.0167,1,74,56.08,2.51
Faya,SA,1613074973,18.3851,42.4509,0,94,57.2,0.94
Dalianwan,CN,1613074973,39.0286,121.695,40,93,35.6,4.47
Mlonggo,ID,1613074974,-6.5333,110.7,80,87,78.4,7.36
Merauke,ID,1613074974,-8.4667,140.3333,100,90,77.54,7.45
Matamoros,MX,1613074974,25.5333,-103.25,1,13,77.0,9.22
Inhambane,MZ,1613074974,-23.865,35.3833,80,86,79.72,12.88
Aasiaat,GL,1613074975,68.7098,-52.8699,82,93,-0.6,15.55
Vaitape,PF,1613074975,-16.5167,-151.75,0,72,81.86,16.28
Adoni,IN,1613074975,15.6333,77.2833,95,57,67.91,11.05
Kuusamo,FI,1613074976,65.9667,29.1833,75,84,-4.0,1.14
Palmares do Sul,BR,1613074976,-30.2578,-50.5097,97,67,78.24,16.24
Hay River,CA,1613074820,60.8156,-115.7999,96,71,-7.6,17.27
Ternate,ID,1613074976,0.8,127.4,33,81,80.96,5.12
San Quintín,MX,1613074976,30.4833,-115.95,0,64,63.01,9.26
Vanimo,PG,1613074977,-2.6741,141.3028,99,81,78.01,3.36
Broken Hill,AU,1613074977,-31.95,141.4333,90,32,80.6,13.8
Darovskoy,RU,1613074977,58.77,47.9564,100,93,0.32,7.34
Porosozero,RU,1613074977,62.7191,32.727,2,92,-5.6,3.11
Nelson Bay,AU,1613074978,-32.7167,152.15,0,82,64.0,5.75
Helena,US,1613074767,46.5927,-112.0361,90,59,-9.0,10.36
Pangkalanbuun,ID,1613074978,-2.6833,111.6167,99,94,74.07,2.59
Hobyo,SO,1613074978,5.3505,48.5268,100,74,77.11,17.11
Lokomotivnyy,RU,1613074978,53.0118,60.5684,88,94,0.25,4.7
Talcahuano,CL,1613074979,-36.7167,-73.1167,90,88,62.6,9.22
Galle,LK,1613074979,6.0367,80.217,99,82,75.42,1.25
Kupang,ID,1613074979,-10.1667,123.5833,34,80,78.93,3.27
Luganville,VU,1613074979,-15.5333,167.1667,53,80,78.98,2.24
Oktyabr'skoye,RU,1613074980,43.0645,44.7417,0,93,32.0,8.95
Omsukchan,RU,1613074980,62.5333,155.8,34,89,-6.18,5.32
Korem,ET,1613074980,12.5058,39.5228,71,61,51.89,3.53
Yakeshi,CN,1613074980,49.2833,120.7333,100,93,11.19,23.2
Montmagny,FR,1613074980,48.9734,2.3469,0,69,30.0,12.66
Birin,NP,1613074980,26.8865,88.0718,0,70,48.6,4.0
Peniche,PT,1613074981,39.3558,-9.3811,100,92,59.0,15.99
Uruana,BR,1613074981,-15.4981,-49.6875,54,75,80.44,1.05
Eina,NO,1613074981,60.6295,10.5993,0,66,8.6,8.05
Letnyaya Stavka,RU,1613074982,45.4306,43.4472,23,83,44.76,9.28
Arrecife,ES,1613074919,28.963,-13.5477,20,77,64.4,6.91
Alpena,US,1613074982,45.0617,-83.4327,90,79,16.0,4.61
Geraldton,AU,1613074982,-28.7667,114.6,0,82,59.0,10.36
San Vicente,AR,1613074982,-26.6167,-54.1333,18,72,74.3,2.8
Acaraú,BR,1613074982,-2.8856,-40.12,100,73,82.74,16.37
Obukhiv,UA,1613074983,50.11,30.6227,75,86,19.4,15.66
Maputo,MZ,1613074983,-25.9653,32.5892,75,88,82.0,11.5
Taoudenni,ML,1613074983,22.6783,-3.9836,0,16,72.77,11.54
Mpongwe,ZM,1613074983,-13.5091,28.155,100,96,67.64,2.8
Genhe,CN,1613074983,50.7833,121.5167,100,95,12.15,4.68
Bukama,CD,1613074983,-9.2,25.85,100,92,72.03,0.94
Toucheng,TW,1613074984,24.8592,121.8233,75,100,66.2,5.75
Byron Bay,AU,1613074984,-28.65,153.6167,57,94,63.0,3.29
Ekhabi,RU,1613074984,53.5102,142.9671,9,96,8.01,5.53
Buin,CL,1613074984,-33.7333,-70.75,40,64,75.0,5.75
Sanbu,CN,1613074985,33.4594,119.1453,58,93,42.24,4.54
Paita,PE,1613074985,-5.0892,-81.1144,20,54,86.0,12.66
Bafoulabé,ML,1613074876,13.8065,-10.8321,91,12,89.96,4.5
Launceston,AU,1613074985,-41.45,147.1667,27,88,60.01,20.71
Anshan,CN,1613074985,41.1236,122.99,100,89,34.54,6.46
Safaga,EG,1613074830,26.7292,33.9365,0,55,66.2,3.44
Yenangyaung,MM,1613074986,20.4667,94.8833,0,35,64.69,1.66
Adrar,MR,1613074986,20.5022,-10.0711,32,16,72.46,10.31
Nemuro,JP,1613074986,43.3236,145.575,19,91,24.03,17.34
Belfast,GB,1613074986,54.5833,-5.9333,100,64,35.6,13.8
Finschhafen,PG,1613074986,-6.6024,147.8681,99,78,80.37,6.87
Myre,NO,1613074986,69.1036,15.9492,90,60,33.8,27.63
General Roca,AR,1613074987,-39.0333,-67.5833,0,33,91.4,5.75
Morón,AR,1613074987,-34.6534,-58.6198,100,65,75.99,8.01
Porbandar,IN,1613074987,21.6422,69.6093,0,60,65.44,4.16
Yerbogachën,RU,1613074987,61.2767,108.0108,1,87,-18.6,3.71
Katsuura,JP,1613074987,35.1333,140.3,0,53,44.6,9.22
Kieta,PG,1613074987,-6.2167,155.6333,100,76,79.05,3.71
Havelock,US,1613074988,34.8791,-76.9013,90,82,60.8,5.75
La Santisima Trinidad,BO,1613074755,-14.8333,-64.9,75,78,78.8,6.91
Taksimo,RU,1613074988,56.3444,114.8794,100,85,-0.42,4.45
Iquitos,PE,1613074988,-3.7481,-73.2472,75,58,91.4,6.91
Benito Juarez,MX,1613074988,19.385,-99.165,40,24,69.8,14.97
Adré,TD,1613074989,13.4667,22.2,0,25,66.94,5.95
Inyonga,TZ,1613074989,-6.7167,32.0667,100,92,65.8,3.4
Beringovskiy,RU,1613074989,63.05,179.3167,67,84,-25.1,16.33
Ardabil,IR,1613074990,38.2498,48.2933,0,61,43.05,5.75
Eldorado,BR,1613074990,-23.7869,-54.2836,68,70,79.79,2.26
Shipitsyno,RU,1613074990,61.2806,46.5208,100,92,-2.29,3.91
Cedar City,US,1613074990,37.6775,-113.0619,1,28,53.6,5.75
Yuanping,CN,1613074990,38.7153,112.7575,0,75,34.45,3.51
Amurzet,RU,1613074990,47.6967,131.0981,100,96,11.26,12.5
Monte Gordo,PT,1613074991,37.1819,-7.4523,75,100,60.8,3.44
Soe,ID,1613074991,-9.8607,124.284,45,97,66.34,2.71
